X ; Y ; XL93 ; YL93 ; NBSARM ; DIAM ; BIOM ; Date ; Vitesse ; NBSARMM2 ; NBSARCEP ; BIOMMM2 ; BIOMGM2 ; BIOMGCEP 
4.2680037;47.1607225;796060.3591081;6674153.9733698;5.03;6.93;189.97;2015-02-11 09:53:12;6.44;4.57;5.03;172.70;139.89;153.88
4.2680141;47.1607069;796061.1747393;6674152.2534683;2.21;11.09;213.71;2015-02-11 09:53:13;6.51;2.01;2.21;194.29;157.37;173.11
4.2680237;47.1606912;796061.9299488;6674150.5214877;4.35;10.27;360.31;2015-02-11 09:53:14;6.62;3.95;4.35;327.55;265.32;291.85
4.2680322;47.1606750;796062.6027248;6674148.7326383;1.64;12.31;195.23;2015-02-11 09:53:15;6.58;1.49;1.64;177.48;143.76;158.14
4.2680415;47.1606597;796063.3344965;6674147.0447174;4.52;8.89;280.82;2015-02-11 09:53:16;6.37;4.11;4.52;255.29;206.79;227.46
4.2680503;47.1606446;796064.0280364;6674145.3784004;3.81;6.91;142.64;2015-02-11 09:53:17;6.62;3.46;3.81;129.67;105.04;115.54
4.2680586;47.1606300;796064.6828095;6674143.7670058;6.33;10.75;573.81;2015-02-11 09:53:18;6.26;5.75;6.33;521.65;422.54;464.79
4.2680684;47.1606151;796065.4517442;6674142.1241178;4.32;8.37;237.84;2015-02-11 09:53:19;6.66;3.93;4.32;216.21;175.13;192.65
4.2680768;47.1606003;796066.1144498;6674140.4906328;6.37;10.42;542.79;2015-02-11 09:53:20;6.22;5.79;6.37;493.45;399.69;439.66
4.2680838;47.1605874;796066.6677155;6674139.0664608;1.16;8.57;66.76;2015-02-11 09:53:21;6.22;1.05;1.16;60.69;49.16;54.07
4.2680932;47.1605737;796067.4042105;6674137.5563598;7.78;10.40;660.11;2015-02-11 09:53:22;6.48;7.07;7.78;600.10;486.08;534.69
4.2681042;47.1605594;796068.2629775;6674135.9815688;2.27;10.27;188.41;2015-02-11 09:53:23;6.33;2.07;2.27;171.28;138.74;152.61
4.2681147;47.1605445;796069.0849398;6674134.3395330;6.75;8.02;341.30;2015-02-11 09:53:24;6.40;6.14;6.75;310.28;251.32;276.46
4.2681236;47.1605307;796069.7837389;6674132.8177179;2.29;7.29;95.49;2015-02-11 09:53:25;6.30;2.08;2.29;86.81;70.31;77.35
4.2681305;47.1605172;796070.3305013;6674131.3267879;4.42;14.15;696.14;2015-02-11 09:53:26;6.51;4.02;4.42;632.86;512.62;563.88
4.2681385;47.1605022;796070.9632657;6674129.6706046;4.57;8.62;266.70;2015-02-11 09:53:27;6.30;4.16;4.57;242.45;196.39;216.02
4.2681461;47.1604880;796071.5643030;6674128.1027836;3.39;11.40;345.84;2015-02-11 09:53:28;6.37;3.08;3.39;314.40;254.66;280.13
4.2681527;47.1604777;796072.0826328;6674126.9668843;3.07;6.08;89.18;2015-02-11 09:53:29;3.52;2.79;3.07;81.07;65.67;72.23
4.2681777;47.1604983;796073.9396602;6674129.2851603;3.86;11.61;408.13;2015-02-11 09:53:56;2.80;3.51;3.86;371.03;300.53;330.58
4.2681701;47.1605092;796073.3445090;6674130.4864794;4.42;7.73;207.71;2015-02-11 09:53:57;6.51;4.02;4.42;188.83;152.95;168.25
4.2681578;47.1605245;796072.3854799;6674132.1707490;2.37;7.86;114.81;2015-02-11 09:53:58;6.08;2.15;2.37;104.37;84.54;93.00
4.2681467;47.1605384;796071.5198497;6674133.7009933;4.17;11.77;454.20;2015-02-11 09:53:59;6.04;3.79;4.17;412.91;334.46;367.90
4.2681380;47.1605539;796070.8331680;6674135.4118554;4.52;10.06;359.08;2015-02-11 09:54:00;6.37;4.11;4.52;326.44;264.42;290.86
4.2681280;47.1605714;796070.0444430;6674137.3432582;5.21;11.18;510.96;2015-02-11 09:54:01;6.22;4.74;5.21;464.51;376.25;413.87
4.2681183;47.1605889;796069.2784437;6674139.2750261;3.96;7.23;162.21;2015-02-11 09:54:02;6.37;3.60;3.96;147.46;119.45;131.39
4.2681085;47.1606039;796068.5093292;6674140.9290197;4.74;9.80;357.22;2015-02-11 09:54:03;6.08;4.31;4.74;324.74;263.04;289.35
4.2680981;47.1606188;796067.6949430;6674142.5711773;5.12;8.70;304.19;2015-02-11 09:54:04;6.33;4.65;5.12;276.54;224.00;246.40
4.2680886;47.1606335;796066.9490897;6674144.1922177;2.35;14.21;373.10;2015-02-11 09:54:05;6.12;2.14;2.35;339.18;274.74;302.21
4.2680769;47.1606476;796066.0376554;6674145.7439451;4.82;8.06;246.32;2015-02-11 09:54:06;5.97;4.39;4.82;223.93;181.38;199.52
4.2680662;47.1606627;796065.2001885;6674147.4079503;3.43;7.90;168.00;2015-02-11 09:54:07;6.30;3.12;3.43;152.73;123.71;136.08
4.2680567;47.1606775;796064.4541581;6674149.0400971;4.74;7.13;188.96;2015-02-11 09:54:08;6.08;4.31;4.74;171.78;139.14;153.06
4.2680475;47.1606934;796063.7288912;6674150.7947763;3.64;8.97;229.98;2015-02-11 09:54:09;5.94;3.31;3.64;209.07;169.35;186.28
4.2680381;47.1607080;796062.9907934;6674152.4048329;2.30;11.95;257.99;2015-02-11 09:54:10;6.26;2.09;2.30;234.53;189.97;208.97
4.2680305;47.1607221;796062.3899389;6674153.9615487;7.61;10.34;639.16;2015-02-11 09:54:11;6.15;6.92;7.61;581.06;470.66;517.72
4.2680213;47.1607364;796061.6675270;6674155.5385304;2.91;9.12;190.04;2015-02-11 09:54:12;6.19;2.64;2.91;172.76;139.93;153.93
4.2680113;47.1607503;796060.8852285;6674157.0701145;4.74;10.02;373.54;2015-02-11 09:54:13;6.08;4.31;4.74;339.58;275.06;302.57
4.2680020;47.1607640;796060.1563124;6674158.5803381;2.33;11.75;252.46;2015-02-11 09:54:14;6.19;2.11;2.33;229.51;185.90;204.49
4.2679929;47.1607776;796059.4427252;6674160.0796989;4.17;13.98;640.81;2015-02-11 09:54:15;6.04;3.79;4.17;582.55;471.87;519.05
4.2679839;47.1607921;796058.7351082;6674161.6791365;4.07;8.27;218.51;2015-02-11 09:54:16;6.19;3.70;4.07;198.64;160.90;176.99
4.2679743;47.1608071;796057.9811494;6674163.3333749;3.21;7.80;153.37;2015-02-11 09:54:17;5.61;2.92;3.21;139.43;112.94;124.23
4.2679645;47.1608209;796057.2141812;6674164.8540967;7.22;9.36;497.35;2015-02-11 09:54:18;6.48;6.57;7.22;452.14;366.23;402.85
4.2679548;47.1608349;796056.4544317;6674166.3971525;3.53;10.92;330.40;2015-02-11 09:54:19;6.12;3.21;3.53;300.36;243.29;267.62
4.2679460;47.1608473;796055.7657117;6674167.7636054;5.39;11.09;520.49;2015-02-11 09:54:20;6.01;4.90;5.39;473.18;383.27;421.60
4.2679362;47.1608615;796054.9980311;6674169.3287520;1.81;14.94;317.08;2015-02-11 09:54:21;5.97;1.64;1.81;288.25;233.48;256.83
4.2679288;47.1608752;796054.4130438;6674170.8412876;6.56;7.39;281.25;2015-02-11 09:54:22;6.04;5.96;6.56;255.68;207.10;227.81
4.2679198;47.1608915;796053.7022190;6674172.6406358;6.08;10.07;484.65;2015-02-11 09:54:23;6.51;5.53;6.08;440.59;356.88;392.57
4.2679087;47.1609064;796052.8348157;6674174.2819441;3.07;9.60;222.10;2015-02-11 09:54:24;5.86;2.79;3.07;201.91;163.55;179.90
4.2678974;47.1609203;796051.9540462;6674175.8119481;6.47;10.80;593.17;2015-02-11 09:54:25;6.12;5.88;6.47;539.25;436.79;480.47
4.2678856;47.1609341;796051.0355803;6674177.3302379;4.68;8.04;237.54;2015-02-11 09:54:26;6.15;4.26;4.68;215.94;174.91;192.40
4.2678757;47.1609497;796050.2578304;6674179.0507491;5.88;11.84;647.89;2015-02-11 09:54:27;6.12;5.35;5.88;588.99;477.08;524.79
4.2678671;47.1609638;796049.5812314;6674180.6062500;3.02;11.60;318.68;2015-02-11 09:54:28;5.97;2.74;3.02;289.71;234.66;258.13
4.2678575;47.1609782;796048.8283474;6674182.1938529;5.56;7.19;225.91;2015-02-11 09:54:29;5.83;5.05;5.56;205.37;166.35;182.99
4.2678481;47.1609933;796048.0893655;6674183.8594420;5.09;9.60;368.46;2015-02-11 09:54:30;6.37;4.62;5.09;334.96;271.32;298.45
4.2678379;47.1610077;796047.2910322;6674185.4463153;1.88;11.39;191.02;2015-02-11 09:54:31;5.76;1.70;1.88;173.66;140.66;154.73
4.2678291;47.1610220;796046.5989279;6674187.0237855;6.51;9.45;456.57;2015-02-11 09:54:32;6.08;5.92;6.51;415.07;336.21;369.83
4.2678203;47.1610355;796045.9082507;6674188.5124069;4.22;8.31;229.16;2015-02-11 09:54:33;5.97;3.84;4.22;208.33;168.74;185.62
4.2678110;47.1610490;796045.1796987;6674190.0004203;7.50;8.42;417.52;2015-02-11 09:54:34;5.76;6.82;7.50;379.56;307.44;338.19
4.2678014;47.1610628;796044.4278870;6674191.5213871;4.71;11.00;447.12;2015-02-11 09:54:35;6.12;4.28;4.71;406.48;329.25;362.17
4.2677914;47.1610779;796043.6434573;6674193.1862470;4.88;9.51;346.94;2015-02-11 09:54:36;5.90;4.44;4.88;315.40;255.47;281.02
4.2677812;47.1610916;796042.8463746;6674194.6953782;5.96;11.45;613.19;2015-02-11 09:54:37;6.04;5.42;5.96;557.45;451.53;496.68
4.2677703;47.1611065;796041.9941273;6674196.3369314;4.17;7.16;168.12;2015-02-11 09:54:38;6.04;3.79;4.17;152.83;123.79;136.17
4.2677621;47.1611220;796041.3453358;6674198.0484054;6.47;13.02;861.85;2015-02-11 09:54:39;6.12;5.88;6.47;783.50;634.64;698.10
4.2677550;47.1611357;796040.7830795;6674199.5613074;4.68;8.52;266.92;2015-02-11 09:54:40;6.15;4.26;4.68;242.66;196.55;216.21
4.2677487;47.1611499;796040.2805319;6674201.1307130;3.07;11.60;324.58;2015-02-11 09:54:41;5.86;2.79;3.07;295.07;239.01;262.91
4.2677442;47.1611639;796039.9146913;6674202.6800958;3.53;11.45;363.44;2015-02-11 09:54:42;6.12;3.21;3.53;330.40;267.62;294.38
4.2677365;47.1611784;796039.3055592;6674204.2811170;7.70;10.48;664.61;2015-02-11 09:54:43;6.08;7.00;7.70;604.19;489.39;538.33
4.2677287;47.1611926;796038.6893874;6674205.8486984;8.12;8.75;488.87;2015-02-11 09:54:44;5.76;7.39;8.12;444.43;359.99;395.99
4.2677214;47.1612079;796038.1091293;6674207.5390553;4.05;11.76;439.91;2015-02-11 09:54:45;6.22;3.68;4.05;399.92;323.94;356.33
4.2677126;47.1612234;796037.4148900;6674209.2498000;4.12;6.82;150.23;2015-02-11 09:54:46;6.12;3.74;4.12;136.57;110.63;121.69
4.2677017;47.1612377;796036.5637161;6674210.8247174;4.65;11.67;497.79;2015-02-11 09:54:47;6.19;4.23;4.65;452.54;366.55;403.21
4.2676910;47.1612518;796035.7280492;6674212.3776660;4.12;9.15;270.84;2015-02-11 09:54:48;6.12;3.74;4.12;246.22;199.44;219.38
